Date,Open,High,Low,Close,Volume,Price
2019-05-30,183.0800018310547,183.47999572753906,180.88999938964844,183.00999450683594,8581500,182.61499786376953
2019-05-31,180.27999877929688,180.5399932861328,177.16000366210938,177.47000122070312,15226500,178.86249923706055
2019-06-03,175.0,175.0500030517578,161.00999450683594,164.14999389648438,56059600,168.80249786376953
2019-06-04,163.7100067138672,168.27999877929688,160.83999633789062,167.5,46044300,165.08250045776367
2019-06-05,167.47999572753906,168.72000122070312,164.6300048828125,168.1699981689453,19758300,167.25
2019-06-06,168.3000030517578,169.6999969482422,167.22999572753906,168.3300018310547,12446400,168.38999938964844
2019-06-07,170.1699981689453,173.8699951171875,168.83999633789062,173.35000610351562,16917300,171.55749893188477
2019-06-10,174.75,177.86000061035156,173.8000030517578,174.82000732421875,14767900,175.30750274658203
2019-06-11,178.47999572753906,179.97999572753906,176.7899932861328,178.10000610351562,15266600,178.33749771118164
2019-06-12,178.3800048828125,179.27000427246094,172.8800048828125,175.0399932861328,17699800,176.3925018310547
2019-06-13,175.52999877929688,178.02999877929688,174.61000061035156,177.47000122070312,12253600,176.4099998474121
2019-06-14,180.50999450683594,181.83999633789062,180.0,181.3300018310547,16773700,180.9199981689453
2019-06-17,185.00999450683594,189.5,184.41000366210938,189.00999450683594,29459900,186.9824981689453
2019-06-18,194.0,194.52999877929688,187.27999877929688,188.47000122070312,37571400,191.06999969482422
2019-06-19,187.0,188.10000610351562,184.5500030517578,187.47999572753906,21417100,186.78250122070312
2019-06-20,190.9499969482422,191.16000366210938,187.63999938964844,189.52999877929688,14635700,189.81999969482422
2019-06-21,188.75,192.0,188.75,191.13999938964844,22751200,190.1599998474121
2019-06-24,192.4199981689453,193.97999572753906,191.57000732421875,192.60000610351562,15509000,192.6425018310547
2019-06-25,192.8800048828125,193.13999938964844,188.1300048828125,188.83999633789062,16750300,190.74750137329102
2019-06-26,189.5399932861328,190.75999450683594,187.30999755859375,187.66000366210938,12808600,188.81749725341797
2019-06-27,189.8800048828125,198.8800048828125,188.27000427246094,189.5,11159000,191.63250350952148
